-1.000,-0.000
-0.990,-0.032
-0.980,-0.063
-0.970,-0.095
-0.960,-0.126
-0.950,-0.157
-0.940,-0.188
-0.930,-0.219
-0.920,-0.250
-0.910,-0.280
-0.899,-0.311
-0.889,-0.340
-0.879,-0.370
-0.869,-0.399
-0.859,-0.428
-0.849,-0.456
-0.839,-0.484
-0.829,-0.511
-0.819,-0.538
-0.809,-0.565
-0.799,-0.590
-0.789,-0.616
-0.779,-0.640
-0.769,-0.664
-0.759,-0.687
-0.749,-0.710
-0.739,-0.732
-0.729,-0.753
-0.719,-0.773
-0.709,-0.793
-0.698,-0.812
-0.688,-0.830
-0.678,-0.847
-0.668,-0.863
-0.658,-0.879
-0.648,-0.894
-0.638,-0.907
-0.628,-0.920
-0.618,-0.932
-0.608,-0.943
-0.598,-0.953
-0.588,-0.962
-0.578,-0.970
-0.568,-0.977
-0.558,-0.984
-0.548,-0.989
-0.538,-0.993
-0.528,-0.996
-0.518,-0.998
-0.508,-1.000
-0.497,-1.000
-0.487,-0.999
-0.477,-0.997
-0.467,-0.995
-0.457,-0.991
-0.447,-0.986
-0.437,-0.981
-0.427,-0.974
-0.417,-0.966
-0.407,-0.958
-0.397,-0.948
-0.387,-0.938
-0.377,-0.926
-0.367,-0.914
-0.357,-0.900
-0.347,-0.886
-0.337,-0.871
-0.327,-0.855
-0.317,-0.839
-0.307,-0.821
-0.296,-0.802
-0.286,-0.783
-0.276,-0.763
-0.266,-0.742
-0.256,-0.721
-0.246,-0.699
-0.236,-0.676
-0.226,-0.652
-0.216,-0.628
-0.206,-0.603
-0.196,-0.578
-0.186,-0.551
-0.176,-0.525
-0.166,-0.498
-0.156,-0.470
-0.146,-0.442
-0.136,-0.413
-0.126,-0.385
-0.116,-0.355
-0.106,-0.325
-0.095,-0.295
-0.085,-0.265
-0.075,-0.235
-0.065,-0.204
-0.055,-0.173
-0.045,-0.142
-0.035,-0.110
-0.025,-0.079
-0.015,-0.047
-0.005,-0.016
0.005,0.016
0.015,0.047
0.025,0.079
0.035,0.110
0.045,0.142
0.055,0.173
0.065,0.204
0.075,0.235
0.085,0.265
0.095,0.295
0.106,0.325
0.116,0.355
0.126,0.385
0.136,0.413
0.146,0.442
0.156,0.470
0.166,0.498
0.176,0.525
0.186,0.551
0.196,0.578
0.206,0.603
0.216,0.628
0.226,0.652
0.236,0.676
0.246,0.699
0.256,0.721
0.266,0.742
0.276,0.763
0.286,0.783
0.296,0.802
0.307,0.821
0.317,0.839
0.327,0.855
0.337,0.871
0.347,0.886
0.357,0.900
0.367,0.914
0.377,0.926
0.387,0.938
0.397,0.948
0.407,0.958
0.417,0.966
0.427,0.974
0.437,0.981
0.447,0.986
0.457,0.991
0.467,0.995
0.477,0.997
0.487,0.999
0.497,1.000
0.508,1.000
0.518,0.998
0.528,0.996
0.538,0.993
0.548,0.989
0.558,0.984
0.568,0.977
0.578,0.970
0.588,0.962
0.598,0.953
0.608,0.943
0.618,0.932
0.628,0.920
0.638,0.907
0.648,0.894
0.658,0.879
0.668,0.863
0.678,0.847
0.688,0.830
0.698,0.812
0.709,0.793
0.719,0.773
0.729,0.753
0.739,0.732
0.749,0.710
0.759,0.687
0.769,0.664
0.779,0.640
0.789,0.616
0.799,0.590
0.809,0.565
0.819,0.538
0.829,0.511
0.839,0.484
0.849,0.456
0.859,0.428
0.869,0.399
0.879,0.370
0.889,0.340
0.899,0.311
0.910,0.280
0.920,0.250
0.930,0.219
0.940,0.188
0.950,0.157
0.960,0.126
0.970,0.095
0.980,0.063
0.990,0.032
1.000,0.000
